id,ot,alias,setcode,type,atk,def,level,race,attribute,category
786906,11,0,0,4,0,0,0,0,0,262144
799183,11,0,0,1048580,0,0,0,0,0,2214592515
811734,3,0,4271,4,0,0,0,0,0,8704
816427,3,0,44,33,1600,200,4,128,4,12
821049,11,0,408,12321,2500,2100,8,1,16,8706
844056,11,0,0,2,0,0,0,0,0,4
847915,11,0,362,131076,0,0,0,0,0,16777216
856784,11,0,0,2,0,0,0,0,0,256
863795,11,0,123,33,1600,1400,4,2,16,262144
875572,9,0,336,33,1800,1000,4,2,32,268697600
876330,11,0,41,33,2100,1500,6,8192,8,1311744
879958,3,0,0,4,0,0,0,0,0,16809988
885016,11,0,0,524290,0,0,0,0,0,16778240
897409,11,0,123,131074,0,0,0,0,0,262156
899287,3,0,0,33,1500,1500,4,512,8,513
900787,3,0,41,8225,2000,1100,6,8192,8,8192
904185,3,0,0,65538,0,0,0,0,0,786432
904186,3,31533705,4123,16401,0,0,3,32,8,0
911883,11,0,0,2,0,0,0,0,0,262144
917796,3,0,84,2,0,0,0,0,0,8192
923596,3,0,114,33,1100,1900,4,32,1,2560
938717,3,0,0,33,0,2000,4,32,1,0
952523,11,0,4234,67108897,1800,34,2,1024,1,262144
967928,3,0,0,4,0,0,0,0,0,0
975299,3,0,0,524290,0,0,0,0,0,84156928
980973,11,0,17891393,33,1200,900,3,8192,8,262656
981540,3,0,0,4,0,0,0,0,0,16777216
983995,3,0,0,1048580,0,0,0,0,0,-2147483384
984114,3,0,22,33,400,1600,4,32,1,1040
987311,11,0,4271,8225,2500,2000,7,8,8,262144
1003028,3,0,0,33,1000,1000,4,1,32,262144
1003840,11,0,0,524290,0,0,0,0,0,262176
1005587,11,0,12910668,4,0,0,0,0,0,2147483650
1006081,3,0,67,4129,1500,900,3,1,1,0
1033312,11,0,0,2,0,0,0,0,0,520
1035143,1,0,164,33,300,200,1,8,32,268435968
1036974,3,0,0,2,0,0,0,0,0,4194304
1041278,11,0,349,4,0,0,0,0,0,262144
1045143,11,0,4210,33,1000,500,3,32,1,262144
1047075,11,0,0,33,1800,1600,4,1,4,520
1050186,11,0,156,33,1800,1000,4,1,16,262152
1050355,11,0,305,524290,0,0,0,0,0,4194820
1050684,11,0,36,2,0,0,0,0,0,512
1061200,11,0,263,524290,0,0,0,0,0,33554944
1073952,11,0,0,2,0,0,0,0,0,256
1082946,3,0,0,4,0,0,0,0,0,0
1102515,3,0,65,33,1000,1000,3,8,32,256
1118137,11,0,82,262146,0,0,0,0,0,83894272
1122030,1,0,461,131074,0,0,0,0,0,268435968
1127737,3,0,0,524290,0,0,0,0,0,4194304
1142880,11,0,4243,33,200,200,1,32,16,262144
1149109,11,0,0,131074,0,0,0,0,0,0
1151281,3,0,4333,2097185,2600,2500,8,64,1,264200
1154611,3,0,212,4,1200,0,2,64,2,263172
1157683,11,0,16531,131076,0,0,0,0,0,3
1164211,11,0,430,33,0,3000,5,1,1,17039872
1174075,11,0,340,8388641,2000,0,1,32,16,2147483656
1184620,3,0,0,17,1500,1200,4,1,1,0
1187243,3,0,16,262146,0,0,0,0,0,33817088
1197847,3,0,250,262146,0,0,0,0,0,4456448
1200843,3,0,0,262146,0,0,0,0,0,16777216
1218214,3,0,227,131074,0,0,0,0,0,1308
1224927,11,0,0,4,0,0,0,0,0,1
1225009,11,0,382,33,1600,2100,4,8,32,262912
1248895,3,0,0,4,0,0,0,0,0,2
1249315,11,0,0,8388641,600,1000,2,4,16,1056
1259814,3,0,0,131076,0,0,0,0,0,3145728
1264319,11,0,4591687,2,0,0,0,0,0,268698624
1264320,11,1264319,4591687,2,0,0,0,0,0,268698624
1269512,11,0,127,8388641,2500,600,4,32768,2,2147524608
1274455,3,0,210,33,1000,1000,3,1048576,32,262148
1278431,11,0,7,33,1600,500,4,32,1,262656
1281505,3,0,48,4129,900,900,2,32,16,16778240
1287123,3,0,0,33,2200,800,5,512,8,-2147483646
1295111,11,0,281,524290,0,0,0,0,0,8396800
1295442,11,0,364,4129,2000,2000,7,64,2,270336
1315120,11,0,39,4129,800,0,2,1,1,262656
1322368,11,0,238,67108897,1900,10,2,1,1,262144
1329620,11,0,385,1048580,0,0,0,0,0,2147484712
1340142,11,0,419,67108897,3000,5,2,2,2,100696066
1344018,11,0,8434,131076,0,0,0,0,0,8
1347977,3,0,0,2097185,800,1200,3,2,1,48
1353770,3,0,0,131074,0,0,0,0,0,1310720
1357146,3,0,0,33,100,2000,2,64,2,537134080
1362589,11,0,85,33,2000,0,4,1,16,2048
1371589,3,0,0,33,1800,1500,4,16384,1,8388608
1372887,11,0,0,65538,0,0,0,0,0,256
1409474,3,0,4221,33,1900,1900,6,32768,4,33816576
1410324,11,0,251,33,600,1800,2,4,16,0
1412158,3,0,0,97,1200,500,6,32,1,262176
1426714,11,0,72,8388641,1800,0,3,16,32,794624
1426715,3,0,0,16401,500,500,1,8,32,0
1434352,3,0,207,33,0,0,1,8,32,8192
1435851,3,0,0,262146,0,0,0,0,0,8192
1474910,3,0,0,33,500,400,1,2048,8,256
1475311,11,0,0,2,0,0,0,0,0,2097420
1482001,11,0,0,67108897,0,128,1,2,1,0
1487805,3,0,0,67108897,2600,133,3,524288,16,67109376
1490690,11,0,0,131076,0,0,0,0,0,263168
1498130,11,0,4157,4129,400,1800,2,1,1,33554432
1498449,9,0,457,33,1300,2500,5,2,2,268697600
1508649,11,0,259,67108897,1500,34,2,2,4,8704
1516510,11,0,4338,97,3000,2000,8,8192,32,33587200
1525329,3,0,0,33,1000,600,3,1,1,1056768
1527418,11,0,276,33,1600,2800,7,2,2,8388608
1528054,11,0,0,67108897,1500,5,2,33554432,16,16777217
1533292,11,0,4098,33,1000,200,3,128,4,512
1539051,11,0,0,2,0,0,0,0,0,256
1546123,11,0,147,97,4000,2800,10,32,16,16384
1546124,11,1546123,147,97,4000,2800,10,32,16,16384
1557341,3,0,0,4129,1600,600,4,1,4,4194304
1557499,3,0,0,262146,0,0,0,0,0,8192
1561110,11,0,0,97,3000,2800,8,32,16,262148
1566817,11,0,0,33,1000,600,2,4,16,33554436
1571945,3,0,43,2097185,1500,800,4,1,16,2
1580833,11,0,216,16777249,1600,1800,50528260,32,2,2
1586457,3,0,0,33,900,900,9,32,16,262144
1596508,3,0,0,33,1700,200,4,32,32,0
1607603,3,0,0,4,0,0,0,0,0,262144
1621413,11,0,8307,8388641,3000,2500,5,8192,32,2147753984
1637760,3,0,0,1048580,0,0,0,0,0,2
1639384,11,0,0,8388641,2800,1800,8,1,16,2181038080
1641882,11,0,0,65,900,700,3,16384,1,0
1644289,3,0,48,262146,0,0,0,0,0,33554944
1662004,11,0,121,4129,500,200,3,32768,4,537198592
1665819,2,0,0,33,2500,2500,7,16777216,32,262144
1669772,3,0,0,4,0,0,0,0,0,1
1683982,11,0,0,131076,0,0,0,0,0,328704
1686814,11,0,0,8225,0,0,12,8192,32,262144
1688285,11,0,4234,8388641,2500,300,4,1024,1,1107296768
1689516,3,0,0,65538,0,0,0,0,0,1056768
1697104,11,0,4289,33558561,1500,0,2,1048576,16,2147745793
1710476,11,0,9633827,33554465,4000,2800,10,32,32,327680
1712616,11,0,368,1048580,0,0,0,0,0,2147483648
1735088,3,0,88,67108897,1800,5,2,32,16,1074004484
1759808,3,0,0,4,0,0,0,0,0,262176
1761063,3,0,0,17,1100,900,3,16384,1,0
1764972,11,0,4175,33554465,2900,2000,8,16,4,263168
1769875,11,0,27,97,2100,1800,6,16384,8,262208
1781310,3,0,0,4,0,0,0,0,0,323
1784619,3,0,0,17,1500,800,4,65536,1,0
1784686,11,0,161,2,0,0,0,0,0,262144
1799464,3,0,0,4129,800,1000,3,2048,1,262144
1799465,3,0,0,16401,0,0,3,2048,1,0
1801154,3,0,0,524290,0,0,0,0,0,268697600
1802450,3,0,0,131076,0,0,0,0,0,2097156
1804528,3,0,0,4,0,0,0,0,0,66
1825445,3,0,220,131076,0,0,0,0,0,1107296256
1826676,3,0,0,33,200,1200,4,32,1,262144
1828513,11,0,2101309,8388641,2500,400,4,1,1,8192
1833916,11,0,4207,33,1300,1100,4,1,1,262144
1834107,3,0,14,131074,0,0,0,0,0,8388608
1834753,3,0,0,33,2100,1200,6,1048576,16,1311232
1845204,11,0,70,2,0,0,0,0,0,268697600
1855886,11,0,262,33,2300,0,6,16,32,262656
1855932,11,0,136,8388641,2500,2000,4,32768,16,16785544
1861629,11,0,257,67108897,2300,133,3,16777216,32,2147491841
1861630,11,1861629,257,67108897,2300,133,3,16777216,32,2147491841
1861631,11,1861629,257,67108897,2300,133,3,16777216,32,2147491841
1872843,11,0,305,33,1000,2800,8,1,16,17039360
1876841,3,0,38,33558561,1500,600,6,32,1,263712
1896112,3,0,0,65538,0,0,0,0,0,262144
1906812,11,0,0,97,2500,2000,8,32,32,262656
1918087,3,0,172,131076,0,0,0,0,0,4194304
1929294,11,0,0,17,400,300,1,4,16,0
1942635,11,0,308,131074,0,0,0,0,0,65792
1945387,11,0,12296,97,2600,2100,8,1,4,256
1948619,11,0,8,67108897,1900,130,2,1,16,262144
1953925,3,0,7,33,1500,1500,5,32,1,33554433
1965724,3,0,387,131074,0,0,0,0,0,1056768
1966438,11,0,4400,33,3000,1500,8,8,32,262179
1969506,3,0,0,2,0,0,0,0,0,262144
1980574,11,0,0,4129,300,600,2,16384,8,262144
1984618,11,0,0,2,0,0,0,0,0,520
1992816,3,0,72,8388641,2800,3000,9,32,16,196608
1995985,3,0,4260071,33,1000,1000,3,1,16,262656
2006591,11,0,414,4,0,0,0,0,0,1040
2009101,11,0,51,4129,1300,400,3,512,32,270336
2047519,3,0,0,4,0,0,0,0,0,2359296
2055403,11,0,76,4,0,0,0,0,0,32
2061963,11,0,72,8388641,2700,1200,4,2,16,2151678080
2067935,3,0,4121,33,1800,1200,4,512,8,262660
2084239,3,0,0,524290,0,0,0,0,0,3153920
2088870,3,0,62,2097185,0,2500,7,524288,16,1056768
2089016,3,0,112,33,1000,1000,4,256,1,40968
2091298,3,0,83,8388641,2400,800,4,32,16,8192
2095764,11,0,158,33,0,2000,2,8388608,2,33816576
2099841,3,0,293,2,0,0,0,0,0,8192
2102065,3,0,0,33,1000,2600,7,262144,2,8192
2106266,11,0,0,524290,0,0,0,0,0,512
2111707,11,0,0,97,2200,1900,6,32,16,262145
2116237,11,0,0,4,0,0,0,0,0,262144
2118022,3,0,0,17,1500,900,4,64,2,0
2122975,3,0,0,4,0,0,0,0,0,1024
2129638,11,0,221,97,3000,2500,10,8192,16,17072140
2130625,3,0,0,4,0,0,0,0,0,8388608
2133971,11,0,0,97,2200,1900,6,32,16,262656
2134346,3,0,0,545,1700,1200,4,4,16,32800
2137678,3,0,24595,33,1600,1200,4,32,1,8192
2139640,3,0,0,33,0,0,3,4,2,8388608
2144946,11,0,263,524290,0,0,0,0,0,576
2148918,3,0,97,131076,0,0,0,0,0,8192
2158562,3,0,147,33,2300,1600,6,1,16,1
2191144,3,0,0,8388641,2600,2000,4,1,32,8192
2196767,3,0,0,33,500,1400,4,2,32,134217794
2203790,3,0,4109,8225,2300,1300,6,1,1,1
2204038,3,0,290,33,1800,2000,7,4,16,16785408
2204140,11,0,0,2,0,0,0,0,0,1311748
2220237,11,0,0,67108897,1000,32,1,16777216,16,0
2250266,3,0,38,33,1400,1000,4,32,1,16852992
2254222,11,0,269950998,16781345,1500,1000,67371013,32,8,262153
2263869,11,0,0,2,0,0,0,0,0,40
2266498,11,0,262,4,0,0,0,0,0,262144
2273734,11,0,156,33,1700,1300,4,1,16,327680
2287848,11,0,262,4,0,0,0,0,0,1792
2295440,11,0,0,2,0,0,0,0,0,262656
2295441,11,2295440,0,2,0,0,0,0,0,262656
2295831,3,0,0,2,0,0,0,0,0,512
2311090,11,0,384,33,1000,1900,2,4096,4,2147745793
2311603,3,0,0,17,1600,1500,4,32,1,0
2314238,11,0,0,2,0,0,0,0,0,1
2316186,3,0,0,33554465,2000,0,4,2,32,4194304
2322421,11,0,102,8225,3000,1500,8,1,16,1311232
2326738,3,0,0,33,500,600,3,16,1,2304
2333365,3,0,66,33,2000,2000,4,1,16,65536
2333466,11,0,245,33,0,0,8,8192,32,270343
2339825,11,0,39,1048580,0,0,0,0,0,2147483648
2344618,1,0,223,131074,0,0,0,0,0,268437000
2347477,11,0,0,33,300,0,1,16777216,32,272384
2347656,11,0,382,33,2900,1900,8,8,32,1091
2356994,3,0,0,545,1900,1700,5,32768,32,16
2359348,3,0,242,4,0,0,0,0,0,1
2362787,3,0,0,2,0,0,0,0,0,2098176
2364438,11,0,289,2,0,0,0,0,0,520
2368215,11,0,4332,67108897,800,2,1,8,32,262656
2370081,3,0,0,262146,0,0,0,0,0,8192
2371506,3,0,115,1048580,0,0,0,0,0,4194307
2376209,3,0,212,4,1200,0,2,64,2,270340
2377034,3,0,44,4129,800,200,3,128,4,1028
2390019,3,0,15,2,0,0,0,0,0,292
2396042,3,0,0,16777249,1600,2600,84213764,65536,1,8192
2403771,11,0,194,8225,2300,2500,7,32,1,16777728
2405631,11,0,394,8225,2700,0,8,131072,2,537133060
2407147,3,0,57,4129,100,200,1,128,4,8
2407234,11,0,9568328,8388641,2600,1400,4,1048576,16,2147483648
2411269,3,0,0,67108897,3000,45,4,8388608,1,12591104
2414168,3,0,0,33,0,2100,6,16777216,16,17047552
2420921,3,0,56,33,400,1400,3,4,16,8328
2434862,3,0,227,4,0,0,0,0,0,262144
2460565,3,0,0,33,1200,400,3,1,1,1376256
2461031,3,0,86,33,500,100,2,2048,32,8192
2463794,11,0,432,67108897,600,2,1,8,16,270336
2468169,3,0,0,17,1100,900,3,2,32,0
2483611,3,0,0,17,1400,1200,4,64,2,0
2501624,11,0,815923352,33,2000,1700,6,2,32,270848
2504891,3,0,0,65,2650,2250,7,2,32,0
2511717,11,0,4157,33,200,2000,3,1,8,270336
2519690,11,0,0,97,2600,2100,7,8192,8,2576
2521011,11,0,121,33,2000,800,5,32768,4,50594304
2525268,3,0,110,33,1600,2000,4,2,16,83886080
2526224,11,0,129,33,2400,200,8,16384,4,262147
2530830,11,0,15011963,8388641,3200,2800,9,8192,16,1074003971
2542230,3,0,0,4,0,0,0,0,0,2147745792
2547033,11,0,259,131076,0,0,0,0,0,2147483659
2561846,3,0,0,2,0,0,0,0,0,67108864
2563463,11,0,0,33,2000,2800,7,512,8,2147745792
2572890,11,0,208,1048580,0,0,0,0,0,2147483650
2584136,3,0,0,33,1600,800,4,131072,2,2147491840
2602411,3,0,214,33,1200,900,3,2,32,1040
2609443,11,0,112,8388641,2300,2600,5,32,16,3221233664
2618045,3,0,85,33,1000,1000,4,1,16,8192
2619149,3,0,4121,33,1600,1200,3,16384,1,262656
2625939,3,0,0,65538,0,0,0,0,0,786432
2625940,3,0,0,16401,0,0,1,16777216,16,0
2645637,11,0,289,67108897,2900,45,4,16,2,2147491840
2648201,3,0,4222,33,1000,1000,4,16384,16,270336
2656842,11,0,368,33,1000,300,3,2048,8,262144
2665273,11,0,308,8388641,-2,-2,9,524288,1,1073750272
2671330,3,0,0,33,1500,1200,4,65536,1,16
2674965,11,0,449,524290,0,0,0,0,0,2151678976
2694423,3,0,62,33,500,600,2,256,1,2050
2729285,11,0,169,33,700,300,1,4,1,1024
2732323,3,0,0,33,300,200,2,8192,4,1310720
2743001,11,0,234,8225,2800,2000,9,32,2,262148
2752099,3,0,0,33,1700,200,4,1,1,1288
2759860,3,0,209,131074,0,0,0,0,0,515
2766877,3,0,16,8388641,1500,1100,2,128,8,2129920
2772236,11,0,14,8225,1400,1200,6,4096,16,96
2772337,11,0,0,67108897,2700,42,3,8,4,262146
2779999,3,0,0,4,0,0,0,0,0,2
2783661,11,0,0,65538,0,0,0,0,0,65544
2792265,3,0,0,33,700,500,3,64,16,131072
2801664,3,0,311,33,2700,900,7,32768,8,303104
2810642,11,0,4289,33558561,700,0,1,1048576,16,262146
2815176,11,0,419,67108897,2500,4,1,8,16,16777216
2819435,3,22702055,0,524290,0,0,0,0,0,786944
2819436,3,0,250,16401,2000,2000,8,8388608,2,0
2830619,11,0,0,17,400,450,2,128,1,0
2830693,11,0,164,33,100,100,1,8,16,327680
2833249,3,0,0,4,0,0,0,0,0,1048576
2834264,11,0,368,67108897,1000,130,2,2048,1,262144
2843014,3,0,120,33,1000,100,2,131072,2,1310728
2851070,11,0,0,33,1700,1000,4,32,16,4194304
2857636,11,0,274,67108897,1900,160,2,8,4,50331905
2863439,3,0,0,17,1100,1400,4,512,16,0
2881864,11,0,308,33,3100,200,9,32768,4,16777216
2896663,11,0,4222,8388641,3000,1200,5,8192,32,1074012672
2903036,3,0,0,2,0,0,0,0,0,262144
2906250,3,0,0,17,1300,1200,4,524288,2,0
2924048,11,0,17,1048580,0,0,0,0,0,-2147483645
2926176,3,0,0,1048580,0,0,0,0,0,2147483649
2930675,11,0,254,131074,0,0,0,0,0,2147483664
2948263,11,0,89,33554465,-2,1500,4,256,1,2147753984
2956282,11,0,42,8225,2500,1800,6,8192,1,2147483649
2957055,1,0,0,17,900,900,3,8192,8,0
2964201,3,0,0,17,2200,2600,7,8192,4,0
2971090,1,0,0,17,1800,1500,5,4,16,0
2971446,11,0,0,4,0,0,0,0,0,512
2978414,11,0,72,8388641,3000,3000,8,8192,16,266240
2980764,3,0,0,33,0,0,1,4,16,18939904
2986553,11,0,0,4129,1000,1000,3,1,32,327680
2992036,3,0,20499,4,0,0,0,0,0,4457492
2992467,11,0,0,33,300,2100,2,262144,2,262144
2994495,3,0,0,4,0,0,0,0,0,2
3019642,11,0,16531,33,800,800,4,32,32,22028288
3026686,3,0,290,33,1000,1600,4,4,16,8704
3027001,3,0,0,4,0,0,0,0,0,16777216
3030892,3,0,0,33,700,300,2,16384,1,262656
3040496,11,0,207,8225,3000,2500,8,8192,32,262148
3048768,11,0,419,16777249,1200,2100,50528260,4,32,8650752
3055018,11,0,429,524290,0,0,0,0,0,0
3055837,3,0,0,1048580,0,0,0,0,0,64
3056267,3,0,0,2097185,1350,1700,4,1,1,4096
3064425,11,0,4250,33,1000,1000,3,32,1,0
3070049,3,0,0,33,1400,900,4,8192,2,67108864
3072077,3,0,0,33,1000,1600,4,16,32,16
3072808,3,0,51,4129,0,2300,5,512,32,263168
3078380,11,0,0,33,2800,1800,8,8192,16,268697600
3078576,11,0,0,545,200,100,2,8,8,32
3084730,3,0,0,33,1500,2000,5,2048,1,8192
3096468,11,0,0,4129,500,1700,3,16,32,0
3103067,3,0,0,4,0,0,0,0,0,2
3105404,3,0,0,4,0,0,0,0,0,4195328
3111207,11,0,0,4129,0,2600,5,262144,2,262148
3113667,3,0,0,524290,0,0,0,0,0,17047552
3113836,11,0,4167,97,2300,1400,5,4,1,0
3117804,11,0,154,33,1000,3500,8,32,1,2048
3121655,3,0,67,33,2100,1800,5,32,1,537141248
3129133,11,0,0,524290,0,0,0,0,0,786456
3129134,1,0,0,16401,0,0,5,16,32,0
3129635,3,0,0,131076,1800,1000,4,256,32,262144
3134241,3,0,0,17,1500,800,4,2048,8,0
3134857,11,0,283,67108897,3000,387,4,32,32,2164270112
3136426,3,0,0,131074,0,0,0,0,0,2048
3137279,11,0,394,33,1500,0,4,131072,2,263168
3146695,3,0,0,4,0,0,0,0,0,1048580
3149401,11,0,0,97,4500,4500,12,8192,32,16777216
3149764,3,0,0,1048580,0,0,0,0,0,-2147483647
3160805,3,0,0,131076,0,0,0,0,0,1552
3167439,3,0,6,1048580,0,0,0,0,0,16777282
3167573,3,0,131,33,2800,2600,7,1,1,262146
3170832,11,0,0,17,1450,1000,4,512,8,0
3171055,3,0,0,4,0,0,0,0,0,129
3204467,3,0,62,33,1000,1600,4,524288,16,8193
3211439,3,0,0,4,0,0,0,0,0,8
3233859,11,0,0,4129,600,0,3,1048576,1,262146
3244563,3,0,0,4,0,0,0,0,0,8192
3248469,11,0,0,33,0,0,2,2048,16,512
3259760,3,0,0,65538,0,0,0,0,0,1879048192
3280747,3,0,0,4,0,0,0,0,0,134217992
3283679,11,0,12366,33,1200,500,3,524288,4,262152
3285551,11,0,0,2,0,0,0,0,0,524800
3285552,9,0,0,16401,2000,2000,4,4,1,0
3289027,3,0,6,33,300,100,1,8,32,262144
3292267,11,0,105,8388641,3000,2400,8,8192,16,3221225475
3298689,11,0,282787989,65538,0,0,0,0,0,1074003968
3300267,11,0,105,33,2200,1000,6,8192,16,1310721
3322931,11,0,0,8225,2500,0,9,16384,8,8224
3355732,11,0,364,33,1500,3000,10,64,2,270336
3356494,11,0,4219,67108897,2000,5,2,8192,16,1026
3361010,3,0,0,33,200,1900,3,1,4,2359296
3366982,11,0,0,97,1700,1500,5,8192,8,131072
3370104,11,0,147,33,1200,1600,4,32,4,2147483904
3376703,11,0,5,33,1500,1500,4,4,16,262144
3381441,3,0,46,33,1000,1500,3,2,32,8192
3395226,11,0,4251,33,2600,2000,8,4,16,262144
3405259,11,0,0,1057,1200,2000,4,32,16,50593792
3410461,11,0,0,97,2500,2500,8,8192,32,33280
3422200,11,0,234,33,2000,1500,5,32,2,262147
3428069,3,0,14090454,33,2600,2300,7,1,1,1052674
3429238,11,0,102,8225,2400,2000,6,1,1,394252
3431737,11,0,0,33,1900,1200,4,32768,1,512
3461403,11,0,0,131074,0,0,0,0,0,1048578
3486020,11,0,289,8225,2900,2400,9,16,4,262150
3492538,3,0,0,262146,0,0,0,0,0,8192
3493058,3,0,0,65538,0,0,0,0,0,138412033
3493978,3,0,0,33,1100,1200,3,524288,2,262144
3496543,11,0,27132337,65538,0,0,0,0,0,268698624
3507053,3,0,331,67108897,0,256,1,32,4,106496
3510565,3,0,0,33,700,1700,3,512,32,4196352
3519195,11,0,0,2,0,0,0,0,0,263680
3534077,11,0,0,33,1600,1200,4,32768,4,262144
